Item,Occasion,Length,Color,Fabric,Care,Style,Lined,Belted,Closure,Sleeve,Neck,Size,Alterations,Purchase.Acquire,Designer,Season
Dress,Any,Maxi,"Navy, Chambray, Khaki",Cotton,Machine,A-line,Y,,Zip,Sleeveless,V,20,N,2015,Eshakti,Summer3
Skirt,Work,Knee,"Navy, cream",Specialty,Dry-clean,Pencil,Y,,Zip,Rolled waist,"Horizontal Pinstripe, narrow",20,"Y, 2013",2011,Talbots,Winter3
Skirt,Work,Knee,"Navy, cream","Cotton, ponte","Dry-clean, hand",Pencil,Y,,Zip,,Horizontal Stripe,20,N,2016,Talbots,Winter3
Skirt,Work,Knee,"Navy, pink, cream, gray",Cotton blend,"Dry-clean, hand",Pencil,Y,,Zip,Rolled waist,Floral,20,N,2015,Talbots,Winter3
Dress,"Casual, Work",Knee,"Navy, White",Polyester,Machine,Bias cut,N,,Pull over,Tank,Jewel,18,N,1999,,All
Dress,Casual,Knee,"Navy, White",Cotton,Machine,Shirt,N,Y,Button,Long,Button-down,18,N,2005,Liz Claiborne,Summer3
Skirt,Casual,Knee,"Navy, White","Cotton, jersey",Machine,"Dolphin, horizontal stripe",N,,Pull on,Drawstring,Pocket,18,N,2016,Talbots,Summer2
Skirt,Casual,Knee,"Navy, White","Cotton, canvas",Machine,A-line,Y,,Zip,Yoke waist,Naval motif,18,"Y, 2013",2012,Talbots,Summer2
Skirt,Work,Tea,"Navy, Yellow, batik",Cotton,Machine,"Full gathered, sash",N,Y,Pull on,"Elastic, combo",Pocket,18,N,2014,"Nikki Warren, Mocha Butterfly",All
Dress,Dressy,Tea,Off white,Polyester,"Dry-clean, hand",Lace,Y,,Zip,Sleeveless,Surplice,16,N,2007,,Summer2
Skirt,Work,Knee,Orange,Blend,Dry-clean,A-line,Y,,Zip,Tape,Pocket,18,N,2014,Talbots,Winter3
Dress,Dressy,Tea,Periwinkle,Silk,"Dry-clean, hand",Tank,Y,,Zip,Tank,V,16,N,2005,Emme,Summer2
Skirt,"Dressy, Work",Knee,"Pink, cream","Polyester, blend","Dry-clean, hand",A-line,Y,,Zip,Yoke waist,"Floral, brocade",18,N,2005,Lord and Taylor,Winter3
Skirt,Work,Midi,"Pink, multi",Wool,Dry-clean,"Pencil, flair",Y,,Zip,Yoke waist,Glenn plaid,20,"Y, 2016",2013,LandsEnd,Winter2
Dress,"Dressy, Work",Knee,Red,"Cotton, ponte","Dry-clean, hand","Pencil, X-line",N,,Zip,Cap,V lace-up,22,N,2016,LB,Winter3
Skirt,Casual,Knee,Red,"Cotton, eyelet",Machine,A-line,Y,,Zip,,Eyelet,18,N,2006,Enzo Angiolini,Summer2
Skirt,Work,Knee,Red,"Cotton, ponte","Dry-clean, hand",Pencil,Y,,Zip,Rolled waist,,18,"Y, 2016",2016,Talbots,Winter3
Dress,Work,Midi,"Red, black polka","Cotton, ponte","Dry-clean, hand","Ponte, straight",Y,,Pull over,Sleeveless,V,20,N,2015,Talbots,Winter2
Dress,"Casual, Work",Midi,Red,Cotton,Machine,"Pencil, flair",N,,Zip,Cap ,Jewel,20,N,2013,Eshakti,Summer3
Dress,Dressy,Knee,White,"Cotton, texture","Dry-clean, hand",A-line tiered,Y,,Zip,Cap,Jewel,18,N,2013,Calvin Klein,Summer1
Skirt,"Dressy, Casual",Midi,"White, electric blue, multi",Polyester,"Dry-clean, hand","Full, pleat",Y,,Zip,High waist,"Pocket, Painted scene, specialty",18,N,2014,Eshakti,Winter3
Top,Dressy,Below waist,"Multi, dark olive, black, hot pink","Polyester, brocade",Dry-clean,,N,Y,Zip,Sleeveless,V,XL,N,2016,Banana Republic,Winter3
